Tool Name,Country of Origin,Preparation of the detailed data sheet,Responsible Institution,Purpose of the Tool,Moment of Productive Activity,Taxonomy of tools (main),Information Access Channels,Typology of Communication Channels,Main Target Audience,Scope of Application,Access Model,Interaction Dimension,Institutional Nature,Organization Category,Language of Availability,WhatsApp integration,Required Connectivity,Level of Digitization,Tool Opening Level,Link,Description (summary)
Agriconecta (Panama),International,No,Tri-Star Trading Group SA,Marketing,After,Online Store (E-commerce) and Marketplace Platforms,Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.agriconecta.agcta_smallholder_farmer; https://apps.apple.com/us/app/agriconecta/id1514667580,"AgriConecta is a free application that allows farmers to stay connected to modern agriculture. Through the platform, they can maintain direct contact with their technician and easily access information within the app, as well as view weather data to better protect and plan their work."
Agrimaps (Espanâ),International,No,"Infonet Computer Consultants SL

",Technical Advisory,During,Integrated Production Monitoring and Management,Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,Spanish,No,Yeah,Digital Transformation,Accessible to Third Parties,"https://agrimaps.es/
https://play.google.com/store/apps/details?id=com.infonetconsultores.agrimapscross; https://apps.apple.com/us/app/agrimaps/id1671973281","A visual, easy and agile field notebook based on the recording of treatments and technical operations, allowing geolocation of incidents, control and monitoring of pests, tracking of the phenological stages of crops, monitoring of technical operations, study of maps and receiving Alternaria alerts, supporting more efficient farm management."
Biofertilizing (Colombia),International,No,Colombian Corporation for Agricultural Research Agrosavia,Learning,During,"Content, Education and Social Network",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.mifinca,"Biofertilization is a game that allows players to learn basic concepts about bio-inputs and biofertilizers in particular, within the context of sustainable agriculture adapted to climate change. Although intended for all ages, it is especially geared towards young people in rural communities. The central objective is to achieve better crop production in each player's respective field through solving educational challenges. The mission integrates obtaining rewards, acquiring resources of different values, productivity strategies, preventing and combating threats, decision-making, collaboration, and field care."
Agricultural field notebook-Agricolum (Espanã),International,No,Agroculum SL., Management,During,Integrated Production Monitoring and Management,Application,Mass media,Producer,General,Freemium,Producer ↔ Content/Platform,Private,Private Sector,Spanish,No,No,Digital Transformation,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.agricolum,"Agricolum is a digital tool focused on recording and organizing agricultural activities. It allows users to track field operations, such as management practices, applications, and production tasks, supporting technical control and property management. The tool aims to facilitate the tracking of work information in a practical way."
Syngenta Agrimecum (Switzerland),International,No,"Syngenta Crop Protection AG
",Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.catalogo.syngenta,"This application compiles technical information about the company's product portfolio, including insecticides, herbicides, fungicides, and seed treatments. It presents general product characteristics, usage guidelines, instructions for controlling pests and harmful plants, as well as information on dosing systems, serving as a technical reference material."
ABC Rural,Paraguay,Yeah,Rural Association of Paraguay (ARP),Learning,During,"Content, Education and Social Network",Website,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Organized Civil Society,Association,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.youtube.com/@ABCRURALPARAGUAY,"Agricultural communication channel linked to the Rural Association of Paraguay, dedicated to the dissemination of information, news and technical content aimed at the Paraguayan rural sector."
Agroayuda,Paraguay,Yeah,MAG,Marketing,After,Online Store (E-commerce) and Marketplace Platforms,Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://iica.int/es/noticias/innovacion-digital-traves-de-plataforma-movil-sera-implementada-para-comercializar/,"Agroayuda is a mobile digital platform for technical assistance and agricultural marketing support that provides producers with technical information, market prices, public procurement opportunities, and production guidance. The tool facilitates access to specialized remote advice, strengthens on-farm decision-making, and helps improve collaboration between producers, markets, and institutions."
Registry of Assisted Family Farming - RAFA,Paraguay,Yeah,Deag Platform, Management,Before ,"Rural Extension Management, Monitoring, and Registry",Website,Not Applicable,Extensionist,General,Not Applicable,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitalization,Internal (Institutional) Use, deag.mag.gov.py,"It allows for the registration of rural producers and families, the collection of socioeconomic data, geographic location, land use, production, infrastructure, basic services, and the monitoring of technical assistance and rural extension actions, supporting planning, monitoring, and the formulation of public policies."
Visit to the Farm,Paraguay,No,Deag Platform,Technical Advisory,Before ,"Rural Extension Management, Monitoring, and Registry",Website,Not Applicable,Extensionist,General,Not Applicable,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitalization,Internal (Institutional) Use, deag.mag.gov.py,"This digital tool is used by rural extension technicians to record detailed information during farm visits about producers and their families, land tenure and use, agricultural production, infrastructure, basic services, inputs, labor, access to credit, and technical assistance. It supports the systematic monitoring of farms, the tracking of ATER (Rural Extension Agency) activities, and the generation of data for planning, evaluation, and the formulation of public policies focused on family farming."
Registry of Individual Family Farming - RAFI,Paraguay,No,Deag Platform, Management,Before ,"Rural Extension Management, Monitoring, and Registry",Website,Not Applicable,Extensionist,General,Not Applicable,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitalization,Internal (Institutional) Use, deag.mag.gov.py,"It allows for the registration of individual rural producers, the collection of socioeconomic, productive and geographical information, and the monitoring of technical assistance and rural extension actions, supporting the planning and design of public policies."
Weather Stations,Paraguay,No,Deag Platform,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Not Applicable,Producer,General,Free,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://deag.mag.gov.py/estaciones.html,"Digital weather monitoring platform that gathers real-time data from weather stations distributed across the territory, presenting information such as temperature, precipitation, wind and weather forecast."
Training,Paraguay,No,Deag Platform,Learning,During,"Content, Education and Social Network",Website,Not Applicable,Extensionist,General,Not Applicable,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties, deag.mag.gov.py,"It offers courses and training content, including online options, aimed at rural extension technicians and family farming producers."
Agrobuch,Paraguay,Yeah,FECOPROD,Technical Advisory,During,"Soil and Plant Analysis
Fertilizers, Inoculants, and Nutrients
Precision Agriculture and Input Optimization",Website,Mass media,Both,General,Not Applicable,Producer ↔ Content/Platform,Public,Cooperative,Spanish,No,Yeah,Digitization,Internal (Institutional) Use,agrobuch,"A digital platform that integrates technical information, geographic data, and precision agriculture tools to support decision-making in the field. The tool allows for the monitoring of agricultural plots, soil and fertility analysis, production tracking, geoprocessing, and support for sustainable production practices, functioning as a ""digital farm logbook"" for the technical and environmental management of the property."
Big Field,Paraguay,Yeah,FECOPROD, Management,During,Integrated Production Monitoring and Management,Website + App,Mass media,Producer,General,Not Applicable,Producer ↔ Content/Platform,Organized Civil Society,Cooperative,Spanish,No,Yeah,Digitization,Internal (Institutional) Use,https://bigcampo.fecoprod.com.py/publico,"Management of the Agricultural Establishment: Livestock, Dairy, Crop Farm"
TRAZAPPY,Paraguay,Yeah,FECOPROD,Marketing,During,Integrated Production Monitoring and Management,Website + App,Mass media,Producer,Specific (milk),Not Applicable,Producer ↔ Content/Platform,Organized Civil Society,Cooperative,Spanish,Yeah,No,Digitization,Internal (Institutional) Use,https://trazappy.fecoprod.com.py/web/home,Agricultural Product Traceability System
FECOCLIMA,Paraguay,No,FECOPROD,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Mass media,Producer,General,Not Applicable,Producer ↔ Content/Platform,Organized Civil Society,Cooperative,Spanish,No,Yeah,Digitization,Internal (Institutional) Use,https://fecoclima.fecoprod.com.py/clima/#/climaActual,"Agrometeorological Station Network: temperature, rainfall, humidity, pressure, crop phenology"
Siscole Smart,Paraguay,Yeah,FECOPROD,Technical Advisory,During,Integrated Production Monitoring and Management,Application ,Mass media,Producer,Specific (milk),Not Applicable,Producer ↔ Content/Platform,Organized Civil Society,Cooperative,Spanish,No,Yeah,Digitization,Internal (Institutional) Use,https://ti.fecoprod.com.py/siscole/Account/Login?ReturnUrl=%2fsiscole,"Smartphone application where the producer can check the status of their dairy farm, their animals, calving and drying schedule, and quality analysis results."
INIA Mobile - Climate characterization for crops,Uruguay,Yeah,INIA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website + App,Mass media,Producer,"Specific (wheat-barley, rapeseed, soybeans, and corn)",Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitalization,Accessible to Third Parties,https://www.inia.uy/caracterizacion-climatica-para-cultivos,"The reports contained in this section constitute a climatic characterization of each agricultural season for the main winter (wheat-barley, rapeseed) and summer (soybean, corn) crops."
INIA mobile - OptiMix,Uruguay,No,INIA,Technical Advisory,During,Precision Agriculture and Input Optimization,Website + App,Mass media,Producer,Specific (forage),Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/optimix-herramienta-para-definir-especies-en-mezclas-forrajeras,Tool for Defining Species in Forage Mixtures
"INIA Mobile - Phenological Model for Estimating Flowering in Wheat, Barley and Maize",Uruguay,Yeah,INIA,Technical Advisory,During,"Content, Education and Social Network",Monitoring Panels (Dashboards),Mass media,Extensionist,"Specific (Corn, wheat and barley)",Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/modelo-fenologico-para-estimacion-de-floracion-en-trigo-cebada-y-maiz,"It allows you to calculate the flowering date, according to location, emergence time and chosen variety, for wheat, barley and corn."
INIA mobile – Sheep Alert,Uruguay,Yeah,INIA,Technical Advisory,Before ,Animal Nutrition and Health, Application,Mass media,Producer,Specific (sheep),Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/alertaovina,"The tool combines technology and local knowledge, helping to protect sheep production. It provides information to improve lamb survival rates at birth, anticipating adverse weather conditions."
INIA mobile – EfiCarne,Uruguay,No,INIA, Management,During,Integrated Production Monitoring and Management,Website + App,Mass media,Producer,Specific (bovine),Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/index.php/eficarne,Web tool for managing cattle feed in intensive pasture systems.
INIA Mobile - FertiRIEGO Horticulture,Uruguay,No,INIA,Technical Advisory,Before ,"Fertilizers, inoculants and nutrients",Website + App,Mass media,Extensionist,Specific (horticulture),Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/fertiriego-horticultura,Decision support software that makes irrigation and fertilizer application recommendations for greenhouse tomato cultivation in Uruguay
INIA mobile - INIA CLIMArroz,Uruguay,No,INIA,Learning,During,"Meteorology, Climate and Irrigation",Website + App,Mass media,Extensionist,Specific (rice),Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/inia-climarroz,A tool designed for technicians and producers that facilitates climate monitoring and the prediction of phenological events in rice cultivation.
INIA Mobile - INIA Log Forestal,Uruguay,Yeah,INIA,Learning,During,"Content, Education and Social Network",Website + App,Mass media,Extensionist,Specific (floral),Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,www.inialog.org.uy,"A tool for technicians, producers, and companies in the forestry sector, providing access to information and technological products to optimize forest resource management. This digital catalog brings together publications, methodologies, and practical tools."
INIA Mobile - INIA Termomin,Uruguay,No,INIA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Application,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/inia-termomin,"It allows access to a forecast of up to 5 days, of the minimum air temperatures (at two meters high) and on the ground, to make timely decisions that avoid or minimize production losses."
INIA Mobile - CultiDatos_Uy,Uruguay,No,INIA,Technical Advisory,During,Seeds and Seedlings,Monitoring Panels (Dashboards),Mass media,Both,"Specific (Wheat, ryegrass, rapeseed, fescue, soybeans and alfafa).",Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitalization,Accessible to Third Parties,https://www.inia.uy/index.php/cultidatosuy-aplicacion-de-analisis-y-seleccion-de-cultivares,"Web application that facilitates access to and comparison of official information on cultivars in Uruguay, supporting the selection of materials according to the production situation"
INIA Mobile - CultiDOCTOR_UY,Uruguay,Yeah,INIA,Technical Advisory,During,"Content, Education and Social Network",Website + App,Interpersonal,Producer,"Specific (Wheat, Barley, Oats, Triticale, Soybeans and Rapeseed)",Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,ttps://www.inia.uy/cultidoctoruy-una-nueva-herramienta-para-identificacion-de-enfermedades-en-cultivos,"Application that aims to provide technicians and producers with a practical guide that allows for quick field identification of diseases affecting wheat, barley, triticale, oats, soybeans, and rapeseed crops."
INIA Mobile - Bovine Thermostress,Uruguay,No,INIA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website + App,Mass media,Producer,Specific (bovine),Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/inia-termoestres,"To provide the user with information based on the recognized Temperature and Humidity Index (THI), for two production systems - meat and milk, under extensive or intensive production conditions."
INIA Mobile – Forecast of heat stress in cattle,Uruguay,No,INIA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Mass media,Extensionist,Specific (bovine),Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.inia.uy/prevision-de-estres-calorico-en-bovinos-0,"A tool that predicts the risk of heat stress in beef and dairy cattle up to seven days in advance, based on the Temperature and Humidity Index (THI), supporting producers and technicians in adopting preventive measures to reduce losses in welfare and productivity."
Institutionalized WhatsApp groups,Uruguay,Yeah,SNIDER,Technical Advisory,During,Consulting & Technical Assistance,Messaging Groups,Mass media,Producer,General,Free,Producer ↔ Extensionist,Public,Ministry / Federal Government,Spanish,Yeah,Yeah,Digitization,Accessible to Third Parties,https://www.encuentrorural.uy/,"Digital spaces organized and moderated by organizations within the ATER system are used to promote the exchange of technical information, provide productive support, and strengthen communities of practice. These groups can operate in an integrated manner with in-person activities, follow defined methodologies, have institutional governance and planned content production, and seek to expand the reach, efficiency, and participation in rural extension processes."
Distance learning courses,Uruguay,Yeah,Agricultural Planning Institute,Learning,During,"Content, Education and Social Network",Website,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,ATER Company / Public Extension Service,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.planagropecuario.org.uy/web/oferta-de-cursos-a-distancia.html,"Structured online courses with technical content applied to real-world production, covering topics such as pasture management, animal feeding and stocking rates, livestock business management, production indicators, sustainability, and decision-making."
PlanTV,Uruguay,Yeah,Agricultural Planning Institute,Technical Advisory,During,"Content, Education and Social Network",Website,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,ATER Company / Public Extension Service,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.planagropecuario.org.uy/web/plantv.html,"A digital platform for audiovisual content focused on disseminating technical information, production experiences, and discussions about livestock and agricultural systems. Through weekly programs and field-recorded materials, PlanTV supports producers, technicians, and extension agents with practical content on management, sustainability, and innovation in rural areas."
Digital tools,Uruguay,Yeah,Agricultural Planning Institute,Technical Advisory,During,Integrated Production Monitoring and Management,Website,Not Applicable,Both,General,Free,Producer ↔ Content/Platform,Public,ATER Company / Public Extension Service,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.planagropecuario.org.uy/web/,"A set of online digital tools aimed at providing technical support and decision-making in livestock farming, especially in pasture-based systems, including load and farm indicator calculators for production planning and farm performance analysis; the MEGanE and enPastoreo tools, aimed at grazing management and pasture management; the Livestock Environmental Assessment, aimed at analyzing the environmental aspects of livestock systems; the Green Folder, used for recording and monitoring production information; the pasture growth visualizer, which supports forage monitoring; and the Index on Food Plate (IsPC), an indicator used to evaluate the supply and availability of forage."
