Nombre de la Herramienta,País de Origen,Elaboración de la ficha detallada,Institución Responsable,Finalidad de la Herramienta,Momento de la Actividad Productiva,Taxonomia da ferramenta (principal),Canales de Acceso a la Información,Tipología de los Canales de Comunicación,Público Objetivo Principal,Alcance de Aplicación,Modelo de Acceso,Dimensión de Interacción,Naturaleza Institucional,Categoría de la Organización,Idioma de Disponibilización,Integración con WhatsApp,Conectividad Necesaria,Nivel de Digitalización,Nivel de Apertura de la Herramienta,Link,Descripción (resumen)
Bug ID: Insect Identifier AI (Chipre),Internacional,No,Picture & Photo Identifier Company Ltd, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Si,Transformación Digital,Accesible a Terceros,"https://play.google.com/store/apps/details?id=com.niroapps.insects; 
https://apps.apple.com/us/app/bug-identifier-ai-insect-id/id1588031278","La aplicación Identificação de Insetos permite reconocer insectos a partir del envío de una foto, utilizando recursos de inteligencia artificial. A ferramenta consulta um amplo banco de imágenes para auxiliar na identificación de diferentes especies de insectos y arañas, ofreciendo apoyo a la observación y al conocimiento de la biodiversidad presente en áreas productivas y no entorno."
Portal de Bioproteção da CABI,Internacional,No,CABI , Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Site,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,ONG / OSC,Multilingüe,No,Si,Transformación Digital,Accesible a Terceros,https://bioprotectionportal.com/homepage/?pk_abe=BPP-Production-Site-HomePage-AB-test&pk_abv=homepage,"Ferramenta digital de acceso gratuito que reúne información sobre productos de biocontrol y biopesticidas registrados en diferentes países. Una plataforma permite consultar datos técnicos para identificar y utilizar adecuadamente estos productos sin manejo agrícola. Está disponible en línea, con previsión de una versión para uso fuera de línea."
Compêndio CABI: Proteção de Cultivos,Internacional,No,CABI ,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Site,Medios de masa,Ambos,General,Pago,Productor ↔ Contenido/Plataforma,Organismo Internacional,ONG / OSC,Multilingüe,No,Si,Transformación Digital,Accesible a Terceros,https://www.cabidigitallibrary.org/product/QC,"Este canal reúne información técnica sobre prácticas agrícolas y temas relacionados con la salud vegetal, con el objetivo de apoyar una consulta y una toma de decisión. El conocimiento sobre la abrangência global y se actualiza periódicamente con nuevas evidencias científicas y datos producidos por organizaciones especializadas."
Códice Alimentarius,Internacional,No,FAO, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Site,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,Sí,Digitación,Accesible a Terceros,https://www.fao.org/fao-who-codexalimentarius/codex-texts/dbs/pestres/pesticides/en/,"Reúna normas y textos relacionados con la seguridad de los alimentos. A página apresenta um índice de pesticidas, no qual é possível consultar informações sobre os usos autorizados de cada sustancia, com base em padrões adotados internacionalmente pela FAO e pela OMS."
COMPO EXPERT Crop Companion (Alemania),Internacional,No,Compo Expert, Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Aplicación,Medios de masa,Ambos,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,Si,Digitalización,Accesible a Terceros,https://apps.apple.com/us/app/compo-expert-crop-companion/id1633269835,"La herramienta reúne información técnica sobre productos agrícolas y recomendaciones de uso, ayudando a consultar datos relevantes para el manejo de plantas y tomando decisiones en el campo de forma práctica del celular."
Cuaderno de campo agrícola-Agricolum (Espanã),Internacional,No,Agroculum SL., Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Medios de masa,Productor,General,Freemium,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Espanhol,No,No,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.agricolum,"Agricolum es una herramienta digital voltada en el registro y en la organización de actividades agrícolas. Ele permite acompañar operaciones realizadas en el campo, como manejos, aplicaciones y tareas productivas, apoyando el control técnico y la gestión de propiedad. La herramienta busca facilitar el acompañamiento de la información del trabajo de forma práctica."
Di@gnoPlant Tomate (Francia),Internacional,No,INRAE, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,No,Transformación Digital,Accesible a Terceros,https://apps.apple.com/us/app/di-gnoplant-tomate/id488120582,"Aplicación desarrollada por INRA para identificar las enfermedades y los bioagresores del tomate en campo abierto y en ambientes protegidos. La herramienta permite el reconocimiento visual de diferentes problemas que afectan a la cultura, utilizando series de imágenes para auxiliar en la identificación gradual de las posibles causas, ya sean ellas de origen parasitarias o no, contribuyendo al diagnóstico técnico en el manejo de la cultura."
Sistema de Monitoramento e Alerta Precoce da Lagarta-do-Cartucho (FAMEWS),Internacional,No,FAO, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://apps.apple.com/us/app/famews/id1476559185,"Aplicación móvil diseñada por la FAO para aplicar el seguimiento de Praga en diferentes regiones. La herramienta permite el registro padronizado de observaciones de campo por agricultores, extensionistas y otros actores, contribuyendo para el acompañamiento de la corrección de lagarta-do-cartucho y para la generación de información de alerta en escala local y global."
FAO elearning Academy,Internacional,No,FAO,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Site,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://elearning.fao.org/?lang=em,"Plataforma de cursos a distancia que reúne contenidos formativos gratuitos en diferentes idiomas. Los cursos pueden realizarse al ritmo del propio participante, con acceso en línea o con medios de material para descargar, apoyándose a aprender sobre diversos temas de acuerdo con las necesidades e intereses individuales."
FAO Gafanhoto PMS (Italia),Internacional,No,FAO, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=org.fao.locust_pms,Sistema de Gestión de Pesticidas para el Control de Gafanhotos de la FAO para facilitar la gestión de pesticidas y equipos utilizados sin control de gafanhotos.
FarmBetter – Extension Agent App (Reino Unido),Internacional,No,"Farmbetter Lt
",Comunicación,Dentro ,"Contenido, Educación y Red Social",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,ONG / OSC,Multilingüe,No,,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=io.farmbetter.farmbetter_extension_agent_app,"Aplicativo voltado ao trabalho de extensionistas e agentes de campo. A ferramenta permite registrar información de agricultores, acompañar visitas técnicas, coletar datos produtivos y monitorear atividades realizadas nas propiedades. La aplicación apoya a la organización del trabajo de extensión rural, facilitando el acompañamiento de dos productores y la sistematización de la información recogida en el campo."
FarmXtension Cocoa Global (Indonesia),Internacional,No,PT. KOLTIVA,Comercialización,Antes ,"Gestión Documental, Certificaciones, Registros y Regularización ",Aplicación,Medios de masa,Productor,Específica (Cacau),Gratuito,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.nestle.cocoatrace,"CocoaTrace es una aplicación diseñada para monitorear y rastrear la cadencia del cacao. La herramienta permite registrar información sobre productores, producción y comercialización, contribuyendo para el acompañamiento de las actividades en el campo y para la transparencia a lo largo de la cadena productiva."
Calculadora de conversão de fertilizantes (Israel),Internacional,No,Haifa Group, Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Site,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,Sí,Transformación Digital,Accesible a Terceros,https://www.haifa-group.com/fertilizer-conversion-calculator,"Herramientas para ayudar a convertir fácilmente entre diversas unidades usadas en el área agrícola: ppm para mmol/l y meq/l, rendimiento y taxa de conversión, unidades de CE."
LifeGrow (Uganda),Internacional,No,CTI Africa Limited, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.ctiafrica.lifegrow,"LifeGrow es una aplicación volcada para apoyar a agricultores y técnicos en el acompañamiento de actividades productivas. La herramienta permite registrar información sobre tareas, prácticas de manejo y datos de campo, contribuyendo para la organización de la información y el acompañamiento del desempeño de los productos."
Map My Crop (Estados Unidos),Internacional,No,"Hardcastle Agrotech Solutions Inc.
", Orientación Técnica,Dentro ,Sensoriamento Remoto,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.mapmycroplite.mmc,"Ferramenta digital voltada ao monitoramento de lavouras por meio de imágenes de satélite. La aplicación permite acompañar aspectos como el desarrollo de culturas, condiciones generales de trabajo y variables climáticas, apoyando o acompañando remotamente las áreas productivas. A ferramenta utiliza dados atualizados para auxiliares agricultores, agrônomos e técnicos na análise e no planejamento das atividades agrícolas."
Meteobot (Bulgaria),Internacional,No,Prointegra Ood, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Aplicación,Medios de masa,Productor,General,Freemium,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=biz.prointegra.meteobot; https://apps.apple.com/gb/app/meteobot/id1266582375,Aplicación de estación meteorológica que requiere información en tiempo real sobre las condiciones meteorológicas y solo en áreas cultivadas.
Pesticidas e Alternativas (Itália),Internacional,No,ISEAL Alliance, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://apps.apple.com/us/app/pesticides-alternatives/id1461460997,"Herramienta multilingüe orientada al apoyo al control de plagas con menor impacto ambiental y sobre la salud humana. La aplicación está dirigida a auditores y tomadores de decisiones que actúan en fincas, áreas agrícolas y forestales. La herramienta permite consultar información sobre la toxicidad de pesticidas con base en datos de autoridades gubernamentales, acuerdos internacionales e instituciones académicas; verificar el estado de restricción de más de 700 ingredientes activos según distintos sistemas y estándares de certificación; acceder a listas de pesticidas registrados por cultivo y plaga en México e India, y por cultivo en Brasil, Colombia y Kenia; además de consultar alternativas no químicas para el control de cerca de 2.700 plagas y enfermedades con base en información de CABI, incluido el acceso a PlantWise. La aplicación también está disponible con interfaz y contenidos en inglés, español y portugués.."
PictureThis Identificar Planta (Hong Kong),Internacional,Sí,Glority Global Group Limited, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Ambos,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=cn.danatech.xingseus,"Ferramenta digital para identificación de plantas, con alta taxa de precisión, capaz de reconocer diariamente un gran volumen de especies. Permite identificar flores, árboles, suculentas y otras plantas, ofreciendo información descriptiva, imágenes y orientaciones básicas de manejo. A ferramenta pode ser utilizada tanto por usuarios expertos como iniciantes, apoiando o aprendizado y o cuidado con plantas y jardines."
Identificador de Doenças de Plantas (China),Internacional,Sí,Aleksei Metelkin, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://apps.apple.com/us/app/plant-disease-identifier/id1550499292,"Aplicativo basado en técnicas de visión computacional y aprendiz de máquina, diseñado para lograr la identificación de donas en plantas a partir de imágenes de hojas con síntomas visuales. La herramienta reúne información sobre más de 300 personas vegetales y presenta orientaciones generales sobre posibles estrategias de manejo y tratamiento. O use la presión adecuada y tenga en cuenta las recomendaciones técnicas y las instrucciones fornecidas del aplicativo."
Plantix (Alemania),Internacional,No,PEAT GmbH, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Site,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,Sí,Sí,Digitalización,Accesible a Terceros,"https://plantix.net/en/library/plant-diseases/
https://play.google.com/store/apps/details?id=com.peat.GartenBank&hl=en&utm_content=en&utm_medium=web_library&utm_source=plantix_web&referrer=utm_content%3Den%26utm_medium%3Dweb_library%26utm_source%3Dplantix_web","El sitio contiene fotos y fichas informativas para auxiliar os agricultores no diagnóstico de pragas, doenças e deficiencias nutricionales. También ofrecemos un servicio gratuito de diagnóstico de lavouras a través de WhatsApp."
PlantVillage (Estados Unidos),Internacional,No,The Pennsylvania State University, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Universidad,Inglês,No,No,Transformación Digital,Accesible a Terceros,https://apps.apple.com/us/app/plantvillage-nuru/id1441395371; https://play.google.com/store/apps/details?id=plantvillage.nuru,"Aplicación de acceso público que utiliza un asistente digital para detectar o diagnosticar doenças em lavouras, incluso en contextos sin conexión a Internet. Desarrollado en la Universidade Estadual da Pensilvânia (Penn State University), una herramienta basada en técnicas de aprendiz de máquina, utilizando una plataforma TensorFlow de Google y un banco de datos de imágenes para identificar síntomas visuales en plantas y tomar una decisión en el manejo agrícola."
Rauch (Alemania),Internacional,No,"Rauch Landmaschinenfabrik Gesellschaft mit beschränkter Haftung
", Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Alemão,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=de.ms.neusta.rauch_streutabelle_android,"La aplicación RAUCH (anteriormente ""Tabela de fertilizantes"") es una tabla de configuración interactiva para las series de distribuidores de fertilizantes RAUCH atuais y anteriores, que, ao contrario de la versión en línea en la web, también pueden usarse sin conexión con Internet. No aplicativo RAUCH distribuidor de fertilizantes RAUCH usted encontrará valores de configuración específicos para una dosificación y distribución de más de 3.000 fertilizantes diferentes, granos y granos finos, que se calculan dinámicamente para su modelo y configuración, mesmo para máquinas sin controles eléctricos."
Avaliação simples da estrutura do solo para o agricultor (Reino Unido),Internacional,No,Landwirtschaftsverlag GMBH, Orientación Técnica,Antes ,Análisis de Suelo y Plantas,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://apps.apple.com/us/app/simple-soil-structure-assessment-for-the-farmer/id882487664,"Presenta un método simplificado para la evaluación de la estructura do solo, con el objetivo de apoiar a analizar su estado actual en contextos de planta directa y de manejo del tráfego agrícola. La evaluación considera diferentes camadas del perfil del solo: superficie, solo superficial cultivado, base del solo superficial y subsolo adyacente, examinando aspectos como organización estructural, penetración radicular, actividad biológica (como presencia de minhocas) e incorporación de residuos."
SOW - A Planting Companion (Estados Unidos),Internacional,Sí,"Alabama Cooperative Extension System
", Orientación Técnica,Dentro ,Consultoría & Asistencia Técnica,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,Cooperativa,Inglês,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=edu.aces.SOW,"La aplicación que hemos diseñado para apoiar el planeamiento de las plantas en hortas, indicando períodos más adecuados para el cultivo conforme a la localización seleccionada. Al elegir una cultura, el usuario puede acceder a información complementaria, como el tiempo estimado en la colheita, la productividad aproximada de la planta y las recomendaciones de espacio entre plantas."
Syngenta Agrimecum (Suiza),Internacional,No,"Syngenta Crop Protection AG
", Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.catalogo.syngenta,"Aplicativo que reúne información técnica sobre la cartera de productos de la empresa, incluidos insecticidas, herbicidas, fungicidas y tratamientos de sementes. A ferramenta presenta características generales de los productos, orientaciones de uso, indicaciones para el control de pragas e plantas daninhas, además de información sobre dosificadores, servindo como material de consulta técnica."
The Biocontrol Advisor (Francia),Internacional,No,Bioline Agrosciences France, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=bioline.app,"La aplicación Bioline, desarrollada en Bioline Agrosciences, fue creada para ayudar a los productores a actividades cotidianas en el campo. A ferramenta reúne informações técnicas sobre biossoluções da empresa, ofreciendo conteúdos de consulta voltados ao esclarecimento de dúvidas operacionais e ao manejo agrícola. Los materiales esenciales pueden accederse de forma fuera de línea, lo que permite el uso de aplicaciones en áreas con conectividad limitada."
ABC Rural,Paraguay,Sí,Asociación Rural del Paraguay (ARP),Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,Asociación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.youtube.com/@ABCRURALPARAGUAY,"Canal de comunicación agropecuaria vinculado a la Asociación Rural del Paraguay, dedicado a la difusión de información, noticias y contenidos técnicos dirigidos al sector rural paraguayo."
Agroayuda,Paraguay,Sí,MAG,Comercialización,Después,Tienda en Línea (E-commerce) y Plataformas de Marketplace,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://iica.int/es/noticias/innovacion-digital-traves-de-plataforma-movil-sera-implementada-para-comercializar/,"Agroayuda es una plataforma digital móvil de asistencia técnica y apoyo a la comercialización agrícola que brinda a productores información técnica, precios de mercado, oportunidades de compras públicas y orientación productiva. La herramienta facilita el acceso a asesoramiento especializado a distancia, fortalece la toma de decisiones en la finca y contribuye a mejorar la articulación entre productores, mercados e instituciones"
Registro de la Agricultura Familiar Asistida - RAFA,Paraguay,Sí,Plataforma Deag , Gestión,Antes ,"Gestión Institucional de Registro, Monitoreo y Catastro de ATER",Website,No se aplica,Extensionista,General,No se aplica,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitación,Uso Interno (Institucional), deag.mag.gov.py,"Permite registrar productores y familias rurales, recopilar datos socioeconómicos, localización geográfica, uso de la tierra, producción, infraestructura, servicios básicos y el seguimiento de las acciones de asistencia técnica y extensión rural, apoyando la planificación, el monitoreo y la formulación de políticas públicas."
Visita a Finca,Paraguay,No,Plataforma Deag , Orientación Técnica,Antes ,"Gestión Institucional de Registro, Monitoreo y Catastro de ATER",Website,No se aplica,Extensionista,General,No se aplica,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitación,Uso Interno (Institucional), deag.mag.gov.py,"Herramienta digital utilizada por técnicos de extensión rural para registrar, durante las visitas a las fincas, información detallada sobre el productor y su familia, la tenencia y uso de la tierra, la producción agropecuaria, la infraestructura, los servicios básicos, los insumos, el trabajo, el acceso al crédito y la asistencia técnica. Apoya el seguimiento sistemático de las fincas, el monitoreo de las acciones de ATER y la generación de datos para la planificación, la evaluación y la formulación de políticas públicas orientadas a la agricultura familiar."
Registro de la Agricultura Familiar Individual -RAFI,Paraguay,No,Plataforma Deag , Gestión,Antes ,"Gestión Institucional de Registro, Monitoreo y Catastro de ATER",Website,No se aplica,Extensionista,General,No se aplica,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitación,Uso Interno (Institucional), deag.mag.gov.py,"Permite registrar productores rurales individuales, recopilar información socioeconómica, productiva y geográfica, y dar seguimiento a las acciones de asistencia técnica y extensión rural, apoyando la planificación y el diseño de políticas públicas."
Estaciones Meteorológicas,Paraguay,No,Plataforma Deag , Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,No se aplica,Productor,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://deag.mag.gov.py/estaciones.html,"Plataforma digital de monitoreo meteorológico que reúne datos en tiempo real de estaciones meteorológicas distribuidas en el territorio, presentando información como temperatura, precipitación, viento y pronóstico del tiempo."
Capacitación,Paraguay,No,Plataforma Deag ,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,No se aplica,Extensionista,General,No se aplica,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitalización,Accesible a Terceros, deag.mag.gov.py,"Ofrece cursos y contenidos formativos, incluyendo modalidades en línea, dirigidos a técnicos de extensión rural y a productores de la agricultura familiar."
Agrobuch,Paraguay,Sí,FECOPROD, Orientación Técnica,Dentro ,"Análisis de Suelo y Plantas
Fertilizantes, inoculantes y nutrientes
Agropecuaria de Precisión y Optimización de Insumos",Website,Medios de masa,Ambos,General,No se aplica,Productor ↔ Contenido/Plataforma,Pública,Cooperativa,Espanhol,No,Sí,Digitalización,Uso Interno (Institucional),agrobuch,"Plataforma digital que integra información técnica, datos geográficos y herramientas de agricultura de precisión para apoyar la toma de decisiones en el campo. La herramienta permite el monitoreo de parcelas agrícolas, análisis de suelo y fertilidad, seguimiento de la producción, uso de geoprocesamiento y apoyo a prácticas de producción sostenible, funcionando como un “libro digital del productor” para la gestión técnica y ambiental de la propiedad."
Big Campo,Paraguay,Sí,FECOPROD, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website + Aplicación,Medios de masa,Productor,General,No se aplica,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,Cooperativa,Espanhol,No,Sí,Digitalización,Uso Interno (Institucional),https://bigcampo.fecoprod.com.py/publico,"Gestión del Establecimiento Agropecuario: Ganadero, Lechero, Agrícola"
TRAZAPPY,Paraguay,Sí,FECOPROD,Comercialización,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website + Aplicación,Medios de masa,Productor,Específica  (leche),No se aplica,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,Cooperativa,Espanhol,Sí,No,Digitalización,Uso Interno (Institucional),https://trazappy.fecoprod.com.py/web/home,Sistema de Trazabilidad de Productos Agrícolas
FECOCLIMA,Paraguay,No,FECOPROD, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,Medios de masa,Productor,General,No se aplica,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,Cooperativa,Espanhol,No,Sí,Digitalización,Uso Interno (Institucional),https://fecoclima.fecoprod.com.py/clima/#/climaActual,"Red de Estaciones Agrometeorológicas: temperatura, lluvia, humedad, presión, fenología de cultivos"
Siscole Smart,Paraguay,Sí,FECOPROD, Orientación Técnica,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación ,Medios de masa,Productor,Específica  (leche),No se aplica,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,Cooperativa,Espanhol,No,Sí,Digitalización,Uso Interno (Institucional),https://ti.fecoprod.com.py/siscole/Account/Login?ReturnUrl=%2fsiscole,"Aplicación para Smartphones, donde el Productor podrá consultar la situación de su tambo, sus animales, calendario de partos y secados, resultados de análisis de calidad."
INIA móvil - Caracterización climática para cultivos,Uruguay,Sí,INIA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website + Aplicación,Medios de masa,Productor,"Específica (trigo-cebada, colza, soj y, maíz)",Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitación,Accesible a Terceros,https://www.inia.uy/caracterizacion-climatica-para-cultivos,"Los informes contenidos en esta sección conforman una caracterización climática de cada zafra agrícola para los principales cultivos de invierno (trigo-cebada, colza) y verano (soja, maíz)"
INIA móvil -  OptiMix ,Uruguay,No,INIA, Orientación Técnica,Dentro ,Agropecuaria de Precisión y Optimización de Insumos,Website + Aplicación,Medios de masa,Productor,Específica (forrajeras),Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/optimix-herramienta-para-definir-especies-en-mezclas-forrajeras,Herramienta Para Definir Especies En Mezclas Forrajeras
"INIA móvil - Modelo Fenológico para Estimación de Floración en Trigo, Cebada y Maíz",Uruguay,Sí,INIA, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Paneles de Monitoreo (Dashboards),Medios de masa,Extensionista,"Específica (Maíz, trigo y cebada)",Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/modelo-fenologico-para-estimacion-de-floracion-en-trigo-cebada-y-maiz,"Permite calcular la fecha de floración, según localidad, época de emergencia y variedad elegida, para trigo, cebada y maíz."
INIA móvil – AlertaOvina ,Uruguay,Sí,INIA, Orientación Técnica,Antes ,Nutrición y Salud Animal, Aplicación,Medios de masa,Productor,Específica (ovinos),Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/alertaovina,"La herramienta suma tecnología y conocimiento local, ayudando a proteger la producción ovina. Brinda información para la sobrevivencia de los corderos al nacimiento, anticipándose a condiciones climáticas adversas"
INIA móvil – EfiCarne ,Uruguay,No,INIA, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website + Aplicación,Medios de masa,Productor,Específica (bovinos),Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/index.php/eficarne,Herramienta web para la gestión de la alimentación de bovinos en sistemas pastoriles intensivos.
INIA móvil - FertiRIEGO Horticultura,Uruguay,No,INIA, Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Website + Aplicación,Medios de masa,Extensionista,Específica (horticultura),Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/fertiriego-horticultura,Software de soporte a la toma de decisiones que realiza recomendaciones de riego y aporte de fertilizantes para el cultivo de tomate bajo invernáculo en Uruguay
INIA móvil - INIA CLIMArroz,Uruguay,No,INIA,Aprendizaje,Dentro ,"Meteorología, Clima e Irrigación",Website + Aplicación,Medios de masa,Extensionista,Específica (arroz),Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.inia.uy/inia-climarroz,Herramienta diseñada para técnicos y productores que facilita el monitoreo climático y la predicción de eventos fenológicos en el cultivo de arroz.
